*DOAJ Keywords	Wikidata label(en)	WikidataQID
genocide studies	genocide studies	Q2515819
mass violence	genocide studies	Q2515819
indonesia	Indonesia	Q252
american literature	American literature	Q25340364
public memory	collective memory	Q254217
source studies	source study	Q25495784
source study	source study	Q25495784
historical tourism	heritage tourism	Q2559423
art of war	military art	Q2560087
ottoman history	history of the Ottoman Empire	Q2564225
ancient near eastern archaeology	Near Eastern archaeology	Q258212
near eastern archaeology	Near Eastern archaeology	Q258212
industrial archaeology	industrial archaeology	Q259209
germanic languages	Germanic philology	Q2620112
germanic philology	Germanic philology	Q2620112
bali studies	indonesiology	Q2623652
peacebuilding	peacebuilding	Q2632158
jewish literature	Jewish literature	Q2642350
postcolonial studies	postcolonialism	Q265425
postcolonial theory	postcolonialism	Q265425
commerce	commerce	Q26643
flora	collection	Q2668072
economic thought	history of economic thought	Q268194
history of economic thought	history of economic thought	Q268194
leadership	leadership studies	Q2697537
history of historiography	history of historiography	Q2699662
bio-anthropology	biological anthropology	Q27172
bioanthropology	biological anthropology	Q27172
biological anthropology	biological anthropology	Q27172
physical anthropology	biological anthropology	Q27172
administrative science	science of public administration	Q2736989
textual criticism	textual criticism	Q275456
history of philosophy	history of philosophy	Q27654
the caribbean	Caribbean Studies	Q27715697
native american	Native American studies	Q27752
political anthropology	political anthropology	Q27778
music education	music education	Q27908
english language	English studies	Q27968
english philology	English studies	Q27968
urban anthropology	urban anthropology	Q27977
medieval history	medieval history	Q27992545
celtic studies	Celtic studies	Q27997
labor	labour economics	Q28161
labor economics	labour economics	Q28161
ancient civilization	ancient civilization	Q28171280
world civilizations	ancient civilization	Q28171280
cultural anthropology	cultural anthropology	Q28598
cultural antropology	cultural anthropology	Q28598
islamic archaeology	Islamic archaeology	Q2860612
ibero-american studies	Latin American studies	Q28617
latin america	Latin American studies	Q28617
latin american culture	Latin American studies	Q28617
latin american literature and culture	Latin American studies	Q28617
latin american studies	Latin American studies	Q28617
latin-american studies	Latin American studies	Q28617
multidisciplinary latin american studies	Latin American studies	Q28617
sacred art	religious art	Q2864737
applied science	applied science	Q28797
pannonia	Pannonia	Q28914708
social anthropology	social anthropology	Q29051
identity politics	identity politics	Q2914650
drawing	art of drawing	Q2921001
law and economics	law and economics	Q295354
critical theory	critical sociology	Q301751
history of administration	administrative history	Q30325332
rural development	rural development	Q3045473
fragmentology	fragmentology	Q30708491
general history	history	Q309
past	history	Q309
sejarah	history	Q309
geohistory	geohistory	Q3123464
history of food	food history	Q3136960
celtic history	history of the Celts	Q3137380
visual history	Visual History	Q3137962
contemporary history	contemporary history	Q3137989
policy studies	policy studies	Q3179130
archaeozoology	zooarchaeology	Q318668
arabian peninsula	Arabian Peninsula	Q31945
applied linguistics	applied linguistics	Q321249
engineering economy	engineering economics	Q3234664
british culture	culture of the United Kingdom	Q32501
early modern history	modern period	Q3281534
eighteenth century	modern period	Q3281534
modern ages	modern period	Q3281534
modern history	modern period	Q3281534
modern period	modern period	Q3281534
applied economics	applied economics	Q3296256
applied economy	applied economics	Q3296256
finland	Finland	Q33
history of indonesia	history of Indonesia	Q331596
german art	German art	Q3322735
applied mathematics	applied mathematics	Q33521
digital history	digital history	Q336387
krakow	Kraków	Q33687122
painting	painting	Q3374341
teology	theology	Q34178
theology	theology	Q34178
religion	religious studies	Q34187
religious studies	religious studies	Q34187
religious traditions	religious studies	Q34187
study of religion	religious studies	Q34187
banking	banking	Q3435731
iran	Iran	Q3452112
social	social science	Q34749
social science	social science	Q34749
social sciences	social science	Q34749
social sciencies	social science	Q34749
society	social science	Q34749
sociocultural issues	social science	Q34749
nursing	nursing science	Q3475757
sports	sport	Q349
history of political ideas	history of political thought	Q3500207
women's studies	women's studies	Q35069
representation	performance	Q35140
representations	performance	Q35140
etymology	etymology	Q35245
metaphysics	metaphysics	Q35277
historical anthropology	historical anthropology	Q358120
aesthetics	aesthetics	Q35986
agricultural science	agricultural science	Q3606845
anatolian studies	Anatolian studies	Q3615122
folklor	folklore	Q36192
folklore	folklore	Q36192
world war 2	World War II	Q362
arabic studies	Arabic studies	Q3621186
arabism	Arabic studies	Q3621186
landscape archaeology	landscape archaeology	Q3621486
virtual archaeology	virtual archeology	Q3621490
politic science	political science	Q36442
political science	political science	Q36442
political sciences	political science	Q36442
politics	political science	Q36442
politology	political science	Q36442
visual art	visual arts	Q36649
visual arts	visual arts	Q36649
yugoslavia	Yugoslavia	Q36704
independence processes	independence	Q37055
romanticism studies	Romanticism	Q37068
syntax	syntax	Q37437
russian	Russian studies	Q375470
russian studies	Russian studies	Q375470
demography	demography	Q37732
economic theory. demography	demography	Q37732
diplomatics	diplomatics	Q378426
history of health science	history of medicine	Q380274
history of medicine	history of medicine	Q380274
medical history	history of medicine	Q380274
medical philosophy	history of medicine	Q380274
archival methodology	archival science	Q380313
archival practice	archival science	Q380313
archival science	archival science	Q380313
archival science and practice	archival science	Q380313
archival science theory and methodology	archival science	Q380313
archival-historical issues	archival science	Q380313
archive	archival science	Q380313
archives	archival science	Q380313
records management	archival science	Q380313
gallia	Gaul	Q38060
africa	African studies	Q38157
african development	African studies	Q38157
african studies	African studies	Q38157
southern africa	African studies	Q38157
modern art	modern art	Q38166
law	legal science	Q382995
historical geography	historical geography	Q384001
archaeological computing	digital archaeology	Q39046232
microecomomic	microeconomics	Q39072
microeconomics	microeconomics	Q39072
entrepreneurship	entrepreneurship	Q3908516
behavioural sciences	behavioral sciences	Q3919817
entomology	entomology	Q39286
mathematics	mathematics	Q395
agrarian history	agrarian history	Q396077
rural sociology	rural sociology	Q396246
agricultural economics	agricultural economics	Q396340
semantics	semantics	Q39645
macroeconomic	macroeconomics	Q39680
macroeconomics	macroeconomics	Q39680
macroeconomy	macroeconomics	Q39680
baltic states	Baltic states	Q39731
eastern baltics	Baltic states	Q39731
agroforestry	agroforestry	Q397350
marketing	marketing	Q39809
publicity	marketing	Q39809
serbia	Serbia	Q403
turkish art	Turkish art	Q4046973
agriculture technologies	agricultural technology	Q4057127
philology	philology	Q40634
sources	philology	Q40634
archaeology of the conflict	conflict archaeology	Q4070697
bulgaria	Bulgarian studies	Q4090659
accounting	accounting	Q4116214
physics	physics	Q413
genocide	genocide	Q41397
argentina	Argentina	Q414
ancient greece	ancient history	Q41493
ancient rome	ancient history	Q41493
ancient world	ancient history	Q41493
design	design studies	Q41607440
ethnic studies	ethnic studies	Q41870
biological science	biology	Q420
biology	biology	Q420
jewish culture	Jewish studies	Q42002
jewish studies	Jewish studies	Q42002
history of childhood	history of childhood	Q4204823
aboriginal arts	Indigenous Australian art	Q420716
hydrology	hydrology	Q42250
cartography	cartography	Q42515
finances	finance	Q43015
zoology	zoology	Q431
archaeological geology	geoarchaeology	Q431602
geoarchaeology	geoarchaeology	Q431602
pre-columbian history	Pre-Columbian studies	Q434198
ethnology	ethnology	Q43455
dutch art	Dutch art	Q4351610
oceanography	oceanography	Q43518
ancient history	ancient history	Q435608
antiquity	ancient history	Q435608
watershed management	watershed management	Q4387041
ancient greek	classical studies	Q439072
antiquity science	classical studies	Q439072
history didactics	history didactics	Q440770
history teaching	history didactics	Q440770
teaching history	history didactics	Q440770
roman archaeology	Roman archaeology	Q44097629
botany	botany	Q441
public history	public history	Q441989
game theory	game theory	Q44455
educational policy	education policy	Q452348
pottery	ceramic	Q45621
literary theory	literary theory	Q459381
academic museology	museology	Q460162
museology	museology	Q460162
museum studies	museology	Q460162
sociology of religion	sociology of religion	Q461659
geophysics	geophysics	Q46255
balcan	Balkan studies	Q464974
balcan nations	Balkan studies	Q464974
balkan	Balkan studies	Q464974
balkan peninsula	Balkan studies	Q464974
balkans	Balkan studies	Q464974
the balkans	Balkan studies	Q464974
history of technology	history of technology	Q465352
canada	Canadian studies	Q4676302
canadian studies	Canadian studies	Q4676302
mountains	mountain range	Q46831
america	American studies	Q470125
american	American studies	Q470125
american studies	American studies	Q470125
americanism	American studies	Q470125
business history	business history	Q471400
chile	history of Chile	Q472967
history of chile	history of Chile	Q472967
economic history	economic history	Q47398
economic history and conditions	economic history	Q47398
international economics	international economics	Q47417
international economy	international economics	Q47417
ancient near east	ancient Near Eastern studies	Q4752891
political economics	political economy	Q47555
political economy	political economy	Q47555
asia	oriental studies	Q476294
oriental studies	oriental studies	Q476294
orientalistica	oriental studies	Q476294
archaeobiology	archaeobiology	Q4785356
upper paleolithic	Upper Paleolithic	Q479505
asian studies	Asian studies	Q4806809
socio-economic development	socioeconomic development	Q4810841
australian studies	Australian studies	Q4825228
gis	geographic information system	Q483130
hellenic studies	Hellenic studies	Q489119
modern greek	Hellenic studies	Q489119
catalan history	history of Catalan	Q4891602
arab world history	history of the Arabs	Q48999793
local communities	local community	Q490933
ukraine	Ukrainian studies	Q491679
ukrainian studies	Ukrainian studies	Q491679
legal studies	jurisprudence	Q4932206
classical philology	classical philology	Q495527
business	business studies	Q5001951
business sciences	business studies	Q5001951
bussines	business studies	Q5001951
christianism	Christianity	Q5043
celtic linguistics	Celtic literature	Q5058556
celtic literature	Celtic literature	Q5058556
central asia	Central Asian studies	Q5060376
art historiography	art history	Q50637
art history	art history	Q50637
history of art	history of art	Q50641
history of arts	history of art	Q50641
historiography	historiography	Q50675
armenology	Armenian studies	Q513850
italian minority	Italian studies	Q515601
italian studies	Italian studies	Q515601
middle eastern history	history of the Middle East	Q51615
conservation science	conservation science	Q5163001
conservation sciences	conservation science	Q5163001
records management	records management	Q517656
curriculum studies	curriculum studies	Q5195144
physiology	physiology	Q521
biogeography	biogeography	Q52106
design research	design research	Q5264373
diaspora studies	diaspora studies	Q5272085
dalmatia	Dalmatia	Q528042
administration	administration	Q5283295
early modern	early modern period	Q5308718
early modern age	early modern period	Q5308718
early modern period	early modern period	Q5308718
environmental humanities	environmental humanities	Q5333239
educational theory	education theory	Q5341232
oceania	Insular Oceania	Q538
eurasia	Eurasia	Q5401
public policy	public policy	Q546113
public policy issues	public policy	Q546113
history of international relations	history of international relations	Q55022436
artistic disciplines	art	Q55336315
palestine	history of Palestine	Q556079
slavic folklore	Slavic folklore	Q55858818
oral history	oral history	Q558929
oral sources	oral history	Q558929
thought	thought	Q56350999
antiquities	antiquarianism	Q56418598
transnational	international studies	Q5654877
transnational studies	international studies	Q5654877
history of ideas	history of ideas	Q570018
history of intellectual life	history of ideas	Q570018
intellectual history	history of ideas	Q570018
pacific studies	Pacific and Asian studies	Q57082815
croatia	Croatian studies	Q575929
croatian culture	Croatian studies	Q575929
croatian language	Croatian studies	Q575929
croatian language and literature	Croatian studies	Q575929
experimental studies	experimental science	Q5769081
history and philosophy of science	history and philosophy of science	Q5774812
historical demography	historical demography	Q580130
social development	social development	Q5803805
economic policies	economic policy	Q582577
economic policy	economic policy	Q582577
comparative philology	comparative philology	Q5862006
history & archaeology	history of archaeology	Q5867387
history of archaeology	history of archaeology	Q5867387
history of archeology	history of archaeology	Q5867387
literary criticism	literary criticism	Q58854
philosophy	philosophy	Q5891
labor history	labor history	Q59029
labour history	labor history	Q59029
cinema	cinematography	Q590870
philosophy of science	philosophy of science	Q59115
educational psychology	educational psychology	Q59157
archaeological methods	archaeological method	Q6011902
theory and methods in archaeology	archaeological method	Q6011902
bibliometrics	bibliometrics	Q603441
modern archaeology	Modern archaeology	Q60775519
islamicjerusalem	Islamic Jerusalem Studies	Q6082500
public archaeology	public archaeology	Q61971571
comparative studies	cross-cultural studies	Q621368
interculturality	cross-cultural studies	Q621368
art practice	art practice	Q62302889
ottoman studies	Ottoman studies	Q623313
conservation	conservation	Q628403
urbanism	urban design	Q63100
numismatics	numismatics	Q631286
decorative arts	decorative art	Q631931
anatolian archaeology	archaeology of Anatolia	Q63534861
experimental archaeology	experimental archaeology	Q636066
archaeogenetic studies	archeogenetics	Q636489
archaeological science	archaeological science	Q637284
archaeological sciences	archaeological science	Q637284
archaeometry	archaeological science	Q637284
archeometry	archaeological science	Q637284
arkeometri	archaeological science	Q637284
book reviews	book review	Q637866
region of istria	Istria	Q639912
mythology	comparative mythology	Q640280
biodiversity conservation	conservation biology	Q641498
conservation biology	conservation biology	Q641498
islamic history	history of Islam	Q642379
global history	world history	Q6457238
world history	world history	Q6457238
history of the low countries	history of the Low Countries	Q6460693
low countries	history of the Low Countries	Q6460693
roman history	history of Rome	Q646206
rome	history of Rome	Q646206
language and literature	language and literature	Q64687382
global business	global business	Q64687605
behavioral economics	behavioral economics	Q647525
heritage management	heritage management	Q64808611
contemporary society	con­tem­por­ary so­ci­et­y	Q64809297
hotel management	hotel management	Q64809639
byzantine studies	Byzantine studies	Q648154
history of literature	history of literature	Q6497044
literary history	history of literature	Q6497044
literature history	history of literature	Q6497044
mediterranean	Mediterranean studies	Q65054879
mediterranean antique history	Mediterranean studies	Q65054879
mediterranean basin	Mediterranean studies	Q65054879
mediterranean studies	Mediterranean studies	Q65054879
the mediterranean	Mediterranean studies	Q65054879
economic development	development studies	Q651571
mediation	Act of Mediation	Q666909
social communication	social communication	Q6701907
maritime studies	maritime studies	Q6765895
ancient law	legal history	Q680004
history of law	legal history	Q680004
legal history	legal history	Q680004
new media	new media	Q683794
